ums,score_RF_output,score_RF_bayesian,score_CNN_output,score_CNN_bayesian
"[[1, 0], [0, 1]]",0.967121760936194,0.9749233769852327,0.9434382836444692,0.962385065477849
"[[1, -1], [0, 1]]",0.9714405126776261,0.98202842017275,0.9657286152131513,0.9731122875452772
"[[1, 0], [-1, 1]]",0.9792421287266648,0.9807745890220118,0.9494288102535525,0.9722764001114517
"[[10, 0], [0, 1]]",0.9071886319309,0.9095848425745333,0.8724714405126777,0.9091668988576205
"[[1, 0], [0, 10]]",0.15664530509891336,0.17305656171635553,0.1653106714962385,0.16887712454722764
"[[1, -10], [0, 1]]",0.9749740368297068,0.991970414650827,0.9839661592238912,0.9876896577927506
"[[1, 0], [-10, 1]]",0.9891587932825046,0.9917424453506928,0.9543301502064389,0.9917424453506928
"[[5, 0], [0, 1]]",0.9138478684870438,0.9146837559208694,0.8803566453050989,0.9105600445806631
"[[100, 0], [0, 1]]",0.9011953190303705,0.9091668988576205,0.8653747561994984,0.9091668988576205
"[[1, 0], [0, 5]]",0.24669824463638898,0.2607411535246587,0.2517692950682641,0.25472276400111454
"[[1, 0], [0, 100]]",0.07559765951518528,0.09713847868487044,0.08749791028141543,0.09559208693229311
"[[1, 0], [-5, 1]]",0.9873223739203121,0.9887155196433547,0.9534224946596082,0.9857899136249652
"[[1, -5], [0, 1]]",0.9743196805052475,0.9887155196433547,0.9805888362589394,0.9842110151388502
"[[1, 0], [-100, 1]]",0.991122489234156,0.999100662364927,0.955300712573347,0.999100662364927
"[[1, -100], [0, 1]]",0.9756737445825943,0.997224743371523,0.987577554077503,0.9956605579755523
